game_id,title,steam_link,Autobiographisch,Werke,Figuren,Phase1_Total
1014260,Passageway of the Ancients,https://store.steampowered.com/app/1014260,0.0,0.0,22.18,8.99
1755580,The Jackbox Party Starter,https://store.steampowered.com/app/1755580,0.0,0.0,22.18,8.99
1669980,Volcano Princess,https://store.steampowered.com/app/1669980,0.0,8.32,16.64,8.99
1328400,Fight'N'Jokes,https://store.steampowered.com/app/1328400,0.0,0.0,14.33,5.81
938480,The Savior's Gang,https://store.steampowered.com/app/938480,0.0,0.0,14.33,5.81
3475600,FriendShapes,https://store.steampowered.com/app/3475600,0.0,0.0,13.86,5.62
894620,ATONE: Heart of the Elder Tree,https://store.steampowered.com/app/894620,0.0,2.77,12.88,5.97
739130,The Executioner,https://store.steampowered.com/app/739130,0.0,0.0,12.88,5.22
991170,Barn Finders,https://store.steampowered.com/app/991170,0.0,0.0,12.88,5.22
2648080,Urban Entrepreneur,https://store.steampowered.com/app/2648080,0.0,4.39,11.09,5.68
