game_id,title,steam_link,kafkaesque,absurd,surreal,displaced,isolated,alienated,bureaucratic,civil service,Phase2_Total
1570070,Beholder 3,https://store.steampowered.com/app/1570070,31.94,6.4,3.61,3.19,7.73,12.09,23.85,32.11,15.12
756800,Contraband Police,https://store.steampowered.com/app/756800,31.67,5.69,2.64,4.62,11.72,7.54,23.25,26.66,14.22
1996500,The Purge Dilemma,https://store.steampowered.com/app/1996500,26.54,11.05,1.49,0.86,6.13,16.43,22.66,28.09,14.16
475550,Beholder,https://store.steampowered.com/app/475550,38.44,8.92,3.86,3.36,8.33,14.5,22.52,26.23,15.77
352550,Urban Empire,https://store.steampowered.com/app/352550,22.14,11.29,2.52,2.34,5.09,6.43,21.92,25.34,12.13
1605460,Here to Stay,https://store.steampowered.com/app/1605460,25.07,3.59,3.38,3.07,10.54,10.43,21.66,34.27,14.0
2825110,Technotopia,https://store.steampowered.com/app/2825110,25.45,7.92,3.32,0.98,5.68,6.45,20.9,24.63,11.92
491950,Orwell: Keeping an Eye On You,https://store.steampowered.com/app/491950,34.28,4.78,3.91,3.23,11.64,12.31,20.78,30.45,15.17
1146600,For the People,https://store.steampowered.com/app/1146600,35.83,6.36,3.08,3.29,7.65,11.94,20.17,32.03,15.04
443810,This Is the Police,https://store.steampowered.com/app/443810,29.93,4.63,3.1,1.2,5.16,8.31,20.11,22.41,11.86
