game_id,title,steam_link,kafkaesque,absurd,surreal,displaced,isolated,alienated,bureaucratic,civil service,Phase2_Total
2290850,Back to Dust - Hold it Together,https://store.steampowered.com/app/2290850,30.28,1.94,3.36,7.25,13.29,10.04,5.17,14.73,10.76
1568970,Torn Away,https://store.steampowered.com/app/1568970,31.83,3.22,4.91,7.09,11.42,9.29,3.95,9.95,10.21
2094580,We. The Refugees: Ticket to Europe,https://store.steampowered.com/app/2094580,33.25,3.21,4.25,7.05,15.05,11.4,8.03,13.64,11.99
3086720,One's Own Exile,https://store.steampowered.com/app/3086720,40.64,12.6,5.01,6.68,12.47,16.13,11.84,16.21,15.2
1060210,Disaster Report 4: Summer Memories,https://store.steampowered.com/app/1060210,37.37,8.0,4.45,5.96,7.5,6.3,11.4,14.68,11.96
2660260,Castaway Hand,https://store.steampowered.com/app/2660260,28.94,5.23,3.98,5.81,9.25,4.89,2.12,4.15,8.05
356040,Sheltered,https://store.steampowered.com/app/356040,34.46,4.35,3.56,5.49,8.3,8.67,7.94,8.6,10.17
808090,"Bury Me, My Love",https://store.steampowered.com/app/808090,32.06,3.71,5.66,5.39,16.07,7.74,7.29,7.17,10.64
3682300,Exile,https://store.steampowered.com/app/3682300,33.28,6.31,4.96,5.37,14.78,8.56,11.42,14.17,12.36
2782280,Apocalypse Love Shelter,https://store.steampowered.com/app/2782280,25.79,0.0,2.53,5.18,4.95,4.54,5.4,5.34,6.72
