game_id,title,steam_link,kafkaesque,absurd,surreal,displaced,isolated,alienated,bureaucratic,civil service,Phase2_Total
808090,"Bury Me, My Love",https://store.steampowered.com/app/808090,32.06,3.71,5.66,5.39,16.07,7.74,7.29,7.17,10.64
1203930,The Last Haven,https://store.steampowered.com/app/1203930,25.47,0.0,1.09,5.04,15.98,2.88,4.6,20.59,9.46
1298530,Self-Isolation,https://store.steampowered.com/app/1298530,34.38,4.15,4.45,4.19,15.84,9.78,11.65,12.21,12.08
2094580,We. The Refugees: Ticket to Europe,https://store.steampowered.com/app/2094580,33.25,3.21,4.25,7.05,15.05,11.4,8.03,13.64,11.99
1617270,The Faraway Land,https://store.steampowered.com/app/1617270,24.21,4.96,3.85,2.76,14.85,4.44,3.86,10.34,8.66
3682300,Exile,https://store.steampowered.com/app/3682300,33.28,6.31,4.96,5.37,14.78,8.56,11.42,14.17,12.36
1072620,Weakless,https://store.steampowered.com/app/1072620,18.15,12.1,4.16,1.23,14.68,12.37,3.66,8.1,9.31
1051410,Wanderlust: Travel Stories,https://store.steampowered.com/app/1051410,37.98,3.06,5.46,4.73,14.0,5.22,6.51,8.79,10.72
1712890,Desolation Tycoon,https://store.steampowered.com/app/1712890,26.9,2.31,3.15,3.62,13.81,1.37,8.69,10.04,8.74
510540,Long Gone Days,https://store.steampowered.com/app/510540,32.71,3.01,3.72,4.33,13.75,8.09,12.82,17.3,11.97
