app_id,title,section_id,section_text,generated_answer,nli_score,nli_raw
1086940,Baldur's Gate 3,krauss_1_definition,Walter Benjamin spoke of 'cloudy spots' in Kafka's texts – indeterminate passages that encourage the reader to actively make connections between the elements of a narrative.,"The game contains elements of the following concept: The player character is a member of a party of up to four, and must take the adventure online as a party of up to four.",3.86,"[{'label': 'neutral', 'score': 0.4999077618122101}, {'label': 'contradiction', 'score': 0.4614998698234558}, {'label': 'entailment', 'score': 0.03859230503439903}]"
1086940,Baldur's Gate 3,krauss_2_kontrast,Not only cloudy spots prompt the reader to interpret actively. Even seemingly clear passages trigger top-down effects that prevent reading from being a purely passive process.,"Does this game contain elements of the following concept? Answer in 1-2 sentences with your reasoning.

Concept: Not only cloudy spots prompt the reader to interpret actively. Even seemingly clear passages trigger top-down effects that prevent reading from being a purely passive process.

Game: Descent From Avernus: Take control of the nautiloid",93.77,"[{'label': 'entailment', 'score': 0.9377112984657288}, {'label': 'neutral', 'score': 0.053846921771764755}, {'label': 'contradiction', 'score': 0.008441643789410591}]"
1086940,Baldur's Gate 3,krauss_3_beispiel_rossmann,"Example: Karl Rossmann flees from a policeman. Although the scene appears clearly described, contradictory details – like his 'too high, time-consuming, and useless jumps' – leave room for interpretation.","Does this game contain elements of the following concept? Answer in 1-2 sentences with your reasoning.

Concept: Example: The player character is a member of a secret society of adventurers, each with their own unique background and backstory. The player must navigate the treacherous politics of the society while also exploring the Forgotten Realms and uncovering",0.02,"[{'label': 'neutral', 'score': 0.9973390698432922}, {'label': 'contradiction', 'score': 0.0024541476741433144}, {'label': 'entailment', 'score': 0.00020680662419181317}]"
1086940,Baldur's Gate 3,krauss_4_schluss,Interpretative openness arises not only from the text itself but also from the textual base or the mental model that forms in the reader's mind – shaped by individual schemas and context.,The game contains elements of the following concept: Interpretative openness arises not only from the text itself but also from the textual base or the mental model that forms in the reader's mind – shaped by individual schemas and context.,99.69,"[{'label': 'entailment', 'score': 0.9969229102134705}, {'label': 'neutral', 'score': 0.0024541120510548353}, {'label': 'contradiction', 'score': 0.0006229781429283321}]"
1315320,The Necromancer's Tale,krauss_1_definition,Walter Benjamin spoke of 'cloudy spots' in Kafka's texts – indeterminate passages that encourage the reader to actively make connections between the elements of a narrative.,"The game contains elements of the following concept: The game is set in a world where the concept of 'cloudy spots' is prevalent. The game involves elements of mystery, intrigue, and the search for clues. The game involves a character who is trying to uncover a series of events that have led to their current situation. The game involves a character who is trying to",40.88,"[{'label': 'neutral', 'score': 0.5725963115692139}, {'label': 'entailment', 'score': 0.40883883833885193}, {'label': 'contradiction', 'score': 0.018564853817224503}]"
1315320,The Necromancer's Tale,krauss_2_kontrast,Not only cloudy spots prompt the reader to interpret actively. Even seemingly clear passages trigger top-down effects that prevent reading from being a purely passive process.,The game contains elements of the following concept: Not only cloudy spots prompt the reader to interpret actively. Even seemingly clear passages trigger top-down effects that prevent reading from being a purely passive process. The game contains elements of the following concept: Not only cloudy spots prompt the reader to interpret actively. Even seemingly clear passages trigger top-down effects that,98.94,"[{'label': 'entailment', 'score': 0.9894188046455383}, {'label': 'neutral', 'score': 0.009295973926782608}, {'label': 'contradiction', 'score': 0.0012853193329647183}]"
1315320,The Necromancer's Tale,krauss_3_beispiel_rossmann,"Example: Karl Rossmann flees from a policeman. Although the scene appears clearly described, contradictory details – like his 'too high, time-consuming, and useless jumps' – leave room for interpretation.",The game contains elements of the following concept: The game contains elements of the following concept: The game contains elements of the following concept: The game contains elements of the following concept: The game contains elements of the following concept: The game contains elements of the following concept: The game contains elements of the following concept: The game contains elements of the following concept: The game contains elements of the following concept,0.06,"[{'label': 'neutral', 'score': 0.9960588216781616}, {'label': 'contradiction', 'score': 0.0033260637428611517}, {'label': 'entailment', 'score': 0.0006151366978883743}]"
1315320,The Necromancer's Tale,krauss_4_schluss,Interpretative openness arises not only from the text itself but also from the textual base or the mental model that forms in the reader's mind – shaped by individual schemas and context.,"The game contains elements of the concept of ""interpretative openness"" as it involves elements of the text itself, as well as the mental model that forms in the reader's mind, shaped by individual schemas and context. The game also contains elements of the concept of ""interpretative openness"" as it involves the interpretation of the textual base or mental model that forms in",99.7,"[{'label': 'entailment', 'score': 0.9969507455825806}, {'label': 'neutral', 'score': 0.0023313916753977537}, {'label': 'contradiction', 'score': 0.000717880786396563}]"
718670,Cultist Simulator,krauss_1_definition,Walter Benjamin spoke of 'cloudy spots' in Kafka's texts – indeterminate passages that encourage the reader to actively make connections between the elements of a narrative.,"Does this game contain elements of the following concept? Answer in 1-2 sentences with your reasoning.

Concept: The Game of the Dead: The dead are not dead. They are not even gone. They are still alive, and they are still playing.

Game: The Game of the Dead: I dedicated myself to the study of the Dead. I dedicated myself to the",1.4,"[{'label': 'neutral', 'score': 0.980819046497345}, {'label': 'entailment', 'score': 0.014001169241964817}, {'label': 'contradiction', 'score': 0.00517974654212594}]"
718670,Cultist Simulator,krauss_2_kontrast,Not only cloudy spots prompt the reader to interpret actively. Even seemingly clear passages trigger top-down effects that prevent reading from being a purely passive process.,The game contains elements of the following concept: Not only cloudy spots prompt the reader to interpret actively. Even seemingly clear passages trigger top-down effects that prevent reading from being a purely passive process.,99.47,"[{'label': 'entailment', 'score': 0.994743824005127}, {'label': 'neutral', 'score': 0.0037971839774399996}, {'label': 'contradiction', 'score': 0.0014590108767151833}]"
