game_id,title,steam_link,keyword_evaluation_Autobiographisch,keyword_evaluation_Werke,keyword_evaluation_Figuren,keyword_evaluation_K_E_Total,embedding_evaluation_kafkaesque,embedding_evaluation_absurd,embedding_evaluation_surreal,embedding_evaluation_displaced,embedding_evaluation_isolated,embedding_evaluation_alienated,embedding_evaluation_bureaucratic,embedding_evaluation_civil service,embedding_evaluation_Embedding_Total,keyword_rescaled,embedding_rescaled,baseline_combined_rescaled,generative_evaluation_krauss_1_definition_x,generative_evaluation_krauss_2_kontrast_x,generative_evaluation_krauss_3_beispiel_rossmann_x,generative_evaluation_krauss_4_schluss_x,generative_evaluation_NLI_Total_x,generative_evaluation_krauss_1_definition_y,generative_evaluation_krauss_2_kontrast_y,generative_evaluation_krauss_3_beispiel_rossmann_y,generative_evaluation_krauss_4_schluss_y,generative_evaluation_NLI_Total_y
1000000,ASCENXION,https://store.steampowered.com/app/1000000,0.0,0.0,0.0,0.0,22.36,2.29,3.0,1.69,4.25,2.37,4.57,7.17,5.96,41.97,41.42,41.69,,,,,,,,,,
1000030,"Cook, Serve, Delicious! 3?!",https://store.steampowered.com/app/1000030,0.0,0.0,0.0,0.0,11.36,0.13,1.26,0.0,0.0,0.65,4.26,0.0,2.21,41.97,11.94,26.96,,,,,,1.07,99.47,0.02,99.69,50.06
1000700,Insomnis,https://store.steampowered.com/app/1000700,0.0,0.0,0.0,0.0,31.25,4.16,5.83,1.12,1.95,7.18,7.22,4.57,7.91,41.97,62.53,52.25,,,,,,,,,,
1001880,aMAZE Valentine,https://store.steampowered.com/app/1001880,0.0,0.0,0.0,0.0,23.84,0.0,4.18,0.0,0.74,3.0,3.88,0.0,4.46,41.97,26.75,34.36,,,,,,,,,,
1001980,Archeo: Shinar,https://store.steampowered.com/app/1001980,0.0,13.18,0.0,3.56,27.43,3.9,3.96,2.2,4.49,4.94,11.85,7.86,8.33,98.93,66.75,82.84,,,,,,,,,,
1003090,Through the Darkest of Times,https://store.steampowered.com/app/1003090,0.0,0.0,0.0,0.0,37.8,6.79,3.13,3.13,4.34,12.72,9.91,15.36,11.65,41.97,89.65,65.81,,,,,,,,,,
1003890,Blacksad: Under the Skin,https://store.steampowered.com/app/1003890,0.0,2.77,0.0,0.75,28.31,5.02,3.73,0.25,0.13,8.36,11.3,6.49,7.95,66.79,62.94,64.87,,,,,,,,,,
1004370,Paper Cut Mansion,https://store.steampowered.com/app/1004370,0.0,0.0,5.55,2.25,25.78,3.62,4.83,0.6,2.13,4.87,10.77,6.35,7.37,93.96,56.81,75.39,,,,,,,,,,
1005120,Touhou Genso Wanderer -Lotus Labyrinth R-,https://store.steampowered.com/app/1005120,0.0,4.39,0.0,1.19,15.81,1.87,2.4,1.14,6.52,5.64,9.98,5.08,6.05,78.57,42.38,60.48,,,,,,,,,,
1008860,Repella Fella,https://store.steampowered.com/app/1008860,0.0,0.0,0.0,0.0,29.92,0.44,3.57,4.24,4.01,3.94,4.31,8.12,7.32,41.97,56.27,49.12,,,,,,,,,,
1009750,Flappatron,https://store.steampowered.com/app/1009750,0.0,0.0,0.0,0.0,20.99,4.42,4.06,0.45,2.26,4.14,2.19,1.8,5.04,41.97,32.04,37.01,,,,,,,,,,
1010850,東方翠神廻廊 〜 Faith in the Goddess of Suwa.,https://store.steampowered.com/app/1010850,0.0,0.0,0.0,0.0,18.75,3.82,3.4,1.0,4.27,6.62,5.68,3.99,5.94,41.97,41.21,41.59,,,,,,,,,,
1011290,Hotel R'n'R,https://store.steampowered.com/app/1011290,0.0,0.0,0.0,0.0,20.54,3.72,3.29,0.68,1.63,9.4,4.59,7.0,6.36,41.97,45.75,43.86,,,,,,,,,,
1011390,Field of Glory: Empires,https://store.steampowered.com/app/1011390,0.0,0.0,0.0,0.0,10.24,4.29,1.56,1.76,5.37,1.44,8.15,15.31,6.02,41.97,42.06,42.02,,,,,,,,,,
1011420,Bus Mechanic Simulator,https://store.steampowered.com/app/1011420,0.0,0.0,0.0,0.0,18.19,5.44,2.36,0.34,0.0,1.29,11.04,6.74,5.68,41.97,38.46,40.22,,,,,,,,,,
1011510,Wizard And Minion Idle,https://store.steampowered.com/app/1011510,0.0,0.0,0.0,0.0,11.88,2.37,2.38,0.0,5.41,2.92,6.26,4.14,4.42,41.97,26.41,34.19,,,,,,,,,,
1011830,Rocwood Academy,https://store.steampowered.com/app/1011830,0.0,0.0,0.0,0.0,22.86,3.11,3.59,0.56,3.7,5.71,8.54,6.93,6.88,41.97,51.46,46.71,,,,,,,,,,
1012790,Into the Radius VR,https://store.steampowered.com/app/1012790,0.0,0.0,0.0,0.0,31.82,4.78,3.05,2.08,8.58,4.37,7.54,9.62,8.98,41.97,72.77,57.37,,,,,,,,,,
1012840,Moons of Madness,https://store.steampowered.com/app/1012840,0.0,0.0,0.0,0.0,31.01,4.35,5.52,1.38,1.85,8.43,10.44,4.95,8.49,41.97,68.3,55.13,,,,,,,,,,
1012880,60 Seconds! Reatomized,https://store.steampowered.com/app/1012880,0.0,0.0,0.0,0.0,26.31,0.0,2.68,3.6,2.04,3.24,2.04,3.38,5.41,41.97,35.69,38.83,,,,,,,,,,
1013140,Outcast - A New Beginning,https://store.steampowered.com/app/1013140,0.0,0.0,0.0,0.0,20.81,5.83,3.46,2.97,5.98,7.74,1.61,3.79,6.52,41.97,47.5,44.73,,,,,,,,,,
