game_id,title,steam_link,embedding_evaluation_kafkaesque,embedding_evaluation_absurd,embedding_evaluation_surreal,embedding_evaluation_displaced,embedding_evaluation_isolated,embedding_evaluation_alienated,embedding_evaluation_bureaucratic,embedding_evaluation_civil service,embedding_evaluation_Embedding_Total
633060,Orwell: Ignorance is Strength,https://store.steampowered.com/app/633060,40.73,6.7,4.22,3.66,9.1,13.35,19.68,31.54,16.12
475550,Beholder,https://store.steampowered.com/app/475550,38.44,8.92,3.86,3.36,8.33,14.5,22.52,26.23,15.77
918820,Headliner: NoviNews,https://store.steampowered.com/app/918820,42.37,3.84,5.58,3.93,11.6,12.0,18.02,25.09,15.3
3086720,One's Own Exile,https://store.steampowered.com/app/3086720,40.64,12.6,5.01,6.68,12.47,16.13,11.84,16.21,15.2
491950,Orwell: Keeping an Eye On You,https://store.steampowered.com/app/491950,34.28,4.78,3.91,3.23,11.64,12.31,20.78,30.45,15.17
2210700,Pechka: Historical Story Adventure,https://store.steampowered.com/app/2210700,41.8,11.28,5.97,4.96,11.01,11.74,11.98,22.5,15.15
1570070,Beholder 3,https://store.steampowered.com/app/1570070,31.94,6.4,3.61,3.19,7.73,12.09,23.85,32.11,15.12
1146600,For the People,https://store.steampowered.com/app/1146600,35.83,6.36,3.08,3.29,7.65,11.94,20.17,32.03,15.04
2191680,Mistwinter Bay,https://store.steampowered.com/app/2191680,32.62,10.16,4.89,3.68,11.69,11.84,13.83,31.51,15.03
736850,We. The Revolution,https://store.steampowered.com/app/736850,37.48,12.5,4.03,3.43,4.03,10.65,17.47,28.25,14.73
