game_id,title,steam_link,embedding_evaluation_kafkaesque,embedding_evaluation_absurd,embedding_evaluation_surreal,embedding_evaluation_displaced,embedding_evaluation_isolated,embedding_evaluation_alienated,embedding_evaluation_bureaucratic,embedding_evaluation_civil service,embedding_evaluation_Embedding_Total
2453060,Dreamcore,https://store.steampowered.com/app/2453060,39.79,3.43,9.45,1.07,7.3,6.54,6.86,2.65,9.64
2492850,The Other Me,https://store.steampowered.com/app/2492850,48.09,2.35,8.91,2.91,6.54,8.76,6.77,8.13,11.56
2776230,Skyward Dream,https://store.steampowered.com/app/2776230,33.9,0.0,8.82,1.58,6.89,6.4,5.92,4.78,8.54
2745420,Grabbers in the Woods,https://store.steampowered.com/app/2745420,40.92,5.49,8.73,2.01,4.81,8.52,6.17,4.86,10.19
3137560,The Liminal Dimension,https://store.steampowered.com/app/3137560,48.7,4.04,8.72,1.99,4.79,10.95,8.04,4.16,11.42
1692060,Bad Dream: Stories,https://store.steampowered.com/app/1692060,42.68,5.13,8.71,1.83,2.25,6.66,3.81,5.2,9.53
1293160,The Medium,https://store.steampowered.com/app/1293160,39.38,0.89,8.69,1.57,7.38,7.44,5.46,7.38,9.77
2479740,Pieces of me,https://store.steampowered.com/app/2479740,38.4,6.78,8.56,1.14,6.79,9.06,3.29,2.58,9.58
2516890,Andarin Weppes,https://store.steampowered.com/app/2516890,37.82,11.92,8.55,1.2,5.62,6.24,8.11,3.32,10.35
1347600,Dad's Monster House,https://store.steampowered.com/app/1347600,37.47,4.8,8.53,1.89,2.96,5.95,5.38,1.22,8.53
