game_id,title,steam_link,krauss_1_definition,krauss_2_kontrast,krauss_3_beispiel_rossmann,krauss_4_schluss,NLI_Total
3453600,Supercar Collection Simulator,https://store.steampowered.com/app/3453600,0.05,0.35,0.12,0.07,0.15
1110380,Fit For a King,https://store.steampowered.com/app/1110380,0.05,0.17,0.07,0.31,0.15
1272160,The Life and Suffering of Sir Brante,https://store.steampowered.com/app/1272160,0.15,0.11,0.01,0.4,0.17
1913670,Metal Black™ S-Tribute,https://store.steampowered.com/app/1913670,0.02,0.39,0.03,0.25,0.17
1787670,A Fishy RPG,https://store.steampowered.com/app/1787670,0.05,0.47,0.02,0.17,0.18
2103640,Axis Football 2023,https://store.steampowered.com/app/2103640,0.05,0.64,0.19,0.12,0.25
1098210,Axis Football 2019,https://store.steampowered.com/app/1098210,0.05,0.32,0.02,0.64,0.26
2019990,Yars: Recharged,https://store.steampowered.com/app/2019990,0.17,0.3,0.02,0.6,0.27
1072750,That Flipping Mountain,https://store.steampowered.com/app/1072750,0.13,0.55,0.06,0.58,0.33
373420,Divinity: Original Sin - Enhanced Edition,https://store.steampowered.com/app/373420,0.03,0.1,0.02,2.32,0.62
950740,China: Mao's legacy,https://store.steampowered.com/app/950740,0.05,2.28,0.13,0.1,0.64
2176460,The Lies We Tell Ourselves,https://store.steampowered.com/app/2176460,0.08,0.26,0.04,2.68,0.76
1701380,Cricket 22,https://store.steampowered.com/app/1701380,0.52,0.42,0.08,3.18,1.05
1664910,Murder Diaries,https://store.steampowered.com/app/1664910,0.21,0.2,0.03,4.51,1.24
1592750,Anode Heart,https://store.steampowered.com/app/1592750,4.1,0.16,0.02,0.99,1.32
3174480,Return to campus,https://store.steampowered.com/app/3174480,0.19,5.04,0.02,0.27,1.38
875400,Blackout: The Darkest Night,https://store.steampowered.com/app/875400,6.13,0.31,0.09,0.38,1.73
2751810,Meteora's Mystic Merge,https://store.steampowered.com/app/2751810,4.24,0.81,0.05,3.28,2.1
1238450,Interference: Dead Air,https://store.steampowered.com/app/1238450,0.02,0.21,0.02,10.69,2.74
377480,N.E.R.O.: Nothing Ever Remains Obscure,https://store.steampowered.com/app/377480,0.07,4.8,0.02,7.55,3.11
808090,"Bury Me, My Love",https://store.steampowered.com/app/808090,0.08,0.43,0.02,13.94,3.62
1020800,CAR TUNE: Project,https://store.steampowered.com/app/1020800,0.04,13.44,0.04,3.46,4.24
420740,The Deed,https://store.steampowered.com/app/420740,7.3,10.62,0.21,1.95,5.02
245470,Democracy 3,https://store.steampowered.com/app/245470,0.12,20.26,0.04,0.22,5.16
2944750,The Strange City,https://store.steampowered.com/app/2944750,4.56,4.19,0.02,13.4,5.54
2860150,Asteroid Drift,https://store.steampowered.com/app/2860150,0.02,0.42,0.02,22.72,5.8
3500600,STEAM-HEART'S Saturn Tribute,https://store.steampowered.com/app/3500600,0.22,0.37,0.02,24.51,6.28
3364880,Moral Dilemma: The Interview,https://store.steampowered.com/app/3364880,4.65,8.5,0.04,23.74,9.23
2887320,Cats of the Qing Dynasty,https://store.steampowered.com/app/2887320,0.48,37.35,0.2,0.33,9.59
1031570,Hookshot,https://store.steampowered.com/app/1031570,0.13,4.01,0.01,70.27,18.6
1163090,Boot Camp Fitness,https://store.steampowered.com/app/1163090,0.28,0.72,0.06,80.06,20.28
809880,Degrees of Separation,https://store.steampowered.com/app/809880,1.0,0.19,0.04,82.37,20.9
2592060,Under The Yoke,https://store.steampowered.com/app/2592060,0.37,0.88,0.03,85.7,21.74
402040,The Guest,https://store.steampowered.com/app/402040,0.1,0.36,0.02,86.77,21.81
668590,Omen Exitio: Plague,https://store.steampowered.com/app/668590,0.09,83.11,0.11,4.11,21.86
1318740,Farlanders,https://store.steampowered.com/app/1318740,0.02,0.39,0.09,87.93,22.11
1860350,Dream Swing,https://store.steampowered.com/app/1860350,0.82,76.21,11.13,2.17,22.58
1445040,Space Choice: Data Analyzer,https://store.steampowered.com/app/1445040,0.07,0.23,0.03,90.16,22.62
2557580,Cellosseum,https://store.steampowered.com/app/2557580,0.07,0.07,0.02,93.93,23.52
3199040,Veil Transfer,https://store.steampowered.com/app/3199040,0.42,0.24,0.02,94.29,23.74
2658720,Vampire: The Masquerade - Reckoning of New York,https://store.steampowered.com/app/2658720,0.35,0.17,0.02,94.8,23.84
2919660,JudgeSim,https://store.steampowered.com/app/2919660,0.07,0.23,0.02,95.29,23.9
1823370,Berry,https://store.steampowered.com/app/1823370,0.01,0.14,0.02,95.81,24.0
1410710,Democracy 4,https://store.steampowered.com/app/1410710,0.14,0.37,0.05,95.94,24.12
2144990,Bryce Tiles,https://store.steampowered.com/app/2144990,0.03,0.19,0.02,96.45,24.17
817020,Unholy,https://store.steampowered.com/app/817020,0.03,0.33,0.03,96.45,24.21
836600,Alternate Jake Hunter: DAEDALUS The Awakening of Golden Jazz,https://store.steampowered.com/app/836600,0.14,0.27,0.03,96.45,24.22
2247760,Revive & Prosper,https://store.steampowered.com/app/2247760,0.07,0.37,0.03,96.45,24.23
849140,Midnight Caravan,https://store.steampowered.com/app/849140,0.12,0.32,0.03,96.45,24.23
2069180,The King's Dilemma: Chronicles,https://store.steampowered.com/app/2069180,0.07,78.3,0.04,18.91,24.33
1568970,Torn Away,https://store.steampowered.com/app/1568970,0.67,0.36,0.02,96.45,24.38
2103620,Age of Gladiators Reforged,https://store.steampowered.com/app/2103620,0.05,83.52,0.02,14.06,24.41
