game_id,title,steam_link,krauss_1_definition,krauss_2_kontrast,krauss_3_beispiel_rossmann,krauss_4_schluss,NLI_Total
1558000,[ECHOSTASIS],https://store.steampowered.com/app/1558000,0.91,99.47,0.01,99.69,50.02
1358530,Saint Kotar,https://store.steampowered.com/app/1358530,0.14,99.47,0.01,99.69,49.83
2479340,Boxing Simulator,https://store.steampowered.com/app/2479340,0.13,18.33,0.01,96.45,28.73
3294630,Mini Racer Car Shop Simulator,https://store.steampowered.com/app/3294630,0.64,99.52,0.01,99.71,49.97
1857090,Norland,https://store.steampowered.com/app/1857090,0.05,62.11,0.01,95.34,39.38
1272160,The Life and Suffering of Sir Brante,https://store.steampowered.com/app/1272160,0.15,0.11,0.01,0.4,0.17
1552240,"Lux, City of Secrets",https://store.steampowered.com/app/1552240,0.04,16.25,0.01,99.69,29.0
1258900,Arcade Redemption,https://store.steampowered.com/app/1258900,16.15,1.95,0.01,98.4,29.13
1031570,Hookshot,https://store.steampowered.com/app/1031570,0.13,4.01,0.01,70.27,18.6
1597400,LOST EGG 2: Be together,https://store.steampowered.com/app/1597400,0.06,72.63,0.01,89.36,40.52
3162260,Doll Catching Simulator,https://store.steampowered.com/app/3162260,0.13,99.47,0.01,96.45,49.02
2896980,Cats in the Ancient City of Gu Su,https://store.steampowered.com/app/2896980,0.48,99.73,0.02,0.33,25.14
3174480,Return to campus,https://store.steampowered.com/app/3174480,0.19,5.04,0.02,0.27,1.38
2294450,CaseCracker2,https://store.steampowered.com/app/2294450,7.26,99.47,0.02,55.8,40.64
2289630,Shambles: Sons of Apocalypse,https://store.steampowered.com/app/2289630,99.5,57.26,0.02,99.69,64.12
1086940,Baldur's Gate 3,https://store.steampowered.com/app/1086940,3.86,93.77,0.02,99.69,49.33
2658720,Vampire: The Masquerade - Reckoning of New York,https://store.steampowered.com/app/2658720,0.35,0.17,0.02,94.8,23.84
1238450,Interference: Dead Air,https://store.steampowered.com/app/1238450,0.02,0.21,0.02,10.69,2.74
1595380,The Durka: You will (not) die,https://store.steampowered.com/app/1595380,1.35,99.52,0.02,99.71,50.15
402040,The Guest,https://store.steampowered.com/app/402040,0.1,0.36,0.02,86.77,21.81
1000030,"Cook, Serve, Delicious! 3?!",https://store.steampowered.com/app/1000030,1.07,99.47,0.02,99.69,50.06
3199040,Veil Transfer,https://store.steampowered.com/app/3199040,0.42,0.24,0.02,94.29,23.74
2103620,Age of Gladiators Reforged,https://store.steampowered.com/app/2103620,0.05,83.52,0.02,14.06,24.41
629650,Symphonic Rain,https://store.steampowered.com/app/629650,0.07,99.52,0.02,99.71,49.83
1172190,Chinatown Detective Agency,https://store.steampowered.com/app/1172190,4.78,99.52,0.02,0.2,26.13
1823370,Berry,https://store.steampowered.com/app/1823370,0.01,0.14,0.02,95.81,24.0
1696670,Agarta,https://store.steampowered.com/app/1696670,0.09,57.26,0.02,96.45,38.46
1587540,Anvil Saga,https://store.steampowered.com/app/1587540,0.02,99.47,0.02,96.45,48.99
1627720,Lies of P,https://store.steampowered.com/app/1627720,0.2,65.06,0.02,94.34,39.9
2819750,Deathless Death,https://store.steampowered.com/app/2819750,0.67,57.26,0.02,96.45,38.6
2944750,The Strange City,https://store.steampowered.com/app/2944750,4.56,4.19,0.02,13.4,5.54
373420,Divinity: Original Sin - Enhanced Edition,https://store.steampowered.com/app/373420,0.03,0.1,0.02,2.32,0.62
635940,Little Busters! English Edition,https://store.steampowered.com/app/635940,0.21,90.67,0.02,99.63,47.63
808090,"Bury Me, My Love",https://store.steampowered.com/app/808090,0.08,0.43,0.02,13.94,3.62
2019990,Yars: Recharged,https://store.steampowered.com/app/2019990,0.17,0.3,0.02,0.6,0.27
2144990,Bryce Tiles,https://store.steampowered.com/app/2144990,0.03,0.19,0.02,96.45,24.17
470310,TROUBLESHOOTER: Abandoned Children,https://store.steampowered.com/app/470310,99.5,98.94,0.02,99.38,74.46
377480,N.E.R.O.: Nothing Ever Remains Obscure,https://store.steampowered.com/app/377480,0.07,4.8,0.02,7.55,3.11
2557580,Cellosseum,https://store.steampowered.com/app/2557580,0.07,0.07,0.02,93.93,23.52
1742290,They came from another planet,https://store.steampowered.com/app/1742290,2.61,15.29,0.02,85.96,25.97
2919660,JudgeSim,https://store.steampowered.com/app/2919660,0.07,0.23,0.02,95.29,23.9
1787670,A Fishy RPG,https://store.steampowered.com/app/1787670,0.05,0.47,0.02,0.17,0.18
3475600,FriendShapes,https://store.steampowered.com/app/3475600,0.31,99.52,0.02,96.45,49.08
2860150,Asteroid Drift,https://store.steampowered.com/app/2860150,0.02,0.42,0.02,22.72,5.8
1592750,Anode Heart,https://store.steampowered.com/app/1592750,4.1,0.16,0.02,0.99,1.32
1952760,RGB Rush,https://store.steampowered.com/app/1952760,0.18,99.47,0.02,81.87,45.39
1726750,Hidden Cats in Santa's Realm,https://store.steampowered.com/app/1726750,0.17,99.47,0.02,99.69,49.84
1919470,Atari 50: The Anniversary Celebration,https://store.steampowered.com/app/1919470,0.64,99.52,0.02,2.67,25.71
591460,Parkasaurus,https://store.steampowered.com/app/591460,0.07,59.89,0.02,87.15,36.78
883130,New Star Manager,https://store.steampowered.com/app/883130,0.44,99.66,0.02,28.65,32.19
2236680,Llamasoft: The Jeff Minter Story,https://store.steampowered.com/app/2236680,0.06,57.26,0.02,96.45,38.45
625860,God Awe-full Clicker,https://store.steampowered.com/app/625860,0.16,4.74,0.02,99.61,26.13
580720,Carrier Deck,https://store.steampowered.com/app/580720,0.15,93.84,0.02,96.45,47.62
386700,The Oil Blue: Steam Legacy Edition,https://store.steampowered.com/app/386700,0.52,99.73,0.02,0.02,25.07
1568970,Torn Away,https://store.steampowered.com/app/1568970,0.67,0.36,0.02,96.45,24.38
501320,The Shrouded Isle,https://store.steampowered.com/app/501320,0.14,97.48,0.02,96.45,48.52
1462810,WRC 10 FIA World Rally Championship,https://store.steampowered.com/app/1462810,6.25,73.35,0.02,64.13,35.94
1412780,Axis Football 2020,https://store.steampowered.com/app/1412780,10.3,0.36,0.02,99.63,27.58
1082720,Click Legends,https://store.steampowered.com/app/1082720,4.78,99.54,0.02,0.01,26.09
1098210,Axis Football 2019,https://store.steampowered.com/app/1098210,0.05,0.32,0.02,0.64,0.26
1641830,Axis Football 2021,https://store.steampowered.com/app/1641830,1.07,99.52,0.02,99.71,50.08
1807080,Ghost Exile,https://store.steampowered.com/app/1807080,57.87,14.03,0.02,99.75,42.92
1719690,MerFight,https://store.steampowered.com/app/1719690,0.1,68.91,0.02,96.45,41.37
3500600,STEAM-HEART'S Saturn Tribute,https://store.steampowered.com/app/3500600,0.22,0.37,0.02,24.51,6.28
978960,Starters Orders 7 Horse Racing,https://store.steampowered.com/app/978960,0.08,89.01,0.02,96.45,46.39
1308760,Mesmer,https://store.steampowered.com/app/1308760,25.79,99.47,0.03,99.69,56.24
1445040,Space Choice: Data Analyzer,https://store.steampowered.com/app/1445040,0.07,0.23,0.03,90.16,22.62
1158310,Crusader Kings III,https://store.steampowered.com/app/1158310,0.82,86.2,0.03,13.54,25.15
836600,Alternate Jake Hunter: DAEDALUS The Awakening of Golden Jazz,https://store.steampowered.com/app/836600,0.14,0.27,0.03,96.45,24.22
1664910,Murder Diaries,https://store.steampowered.com/app/1664910,0.21,0.2,0.03,4.51,1.24
817020,Unholy,https://store.steampowered.com/app/817020,0.03,0.33,0.03,96.45,24.21
334230,Town of Salem,https://store.steampowered.com/app/334230,0.14,98.94,0.03,99.69,49.7
1877960,Trimps,https://store.steampowered.com/app/1877960,0.64,99.61,0.03,97.16,49.36
3217180,Ananas - Pineapple Idle Game,https://store.steampowered.com/app/3217180,0.06,99.52,0.03,0.31,24.98
2338770,NBA 2K24,https://store.steampowered.com/app/2338770,31.5,0.31,0.03,99.75,32.9
484930,Beekyr Reloaded,https://store.steampowered.com/app/484930,0.02,79.51,0.03,96.45,44.0
493900,Dungeons 3,https://store.steampowered.com/app/493900,24.96,98.94,0.03,99.38,55.83
787860,Farming Simulator 19,https://store.steampowered.com/app/787860,0.03,81.08,0.03,96.45,44.4
1296830,暖雪 Warm Snow,https://store.steampowered.com/app/1296830,1.07,99.65,0.03,99.12,49.97
