game_id,title,steam_link,krauss_1_definition,krauss_2_kontrast,krauss_3_beispiel_rossmann,krauss_4_schluss,NLI_Total
2103640,Axis Football 2023,https://store.steampowered.com/app/2103640,0.05,0.64,0.19,0.12,0.25
2896980,Cats in the Ancient City of Gu Su,https://store.steampowered.com/app/2896980,0.48,97.53,0.02,0.33,24.59
1272160,The Life and Suffering of Sir Brante,https://store.steampowered.com/app/1272160,0.15,0.11,0.01,0.4,0.17
2069180,The King's Dilemma: Chronicles,https://store.steampowered.com/app/2069180,0.07,78.3,0.04,18.91,24.33
2860150,Asteroid Drift,https://store.steampowered.com/app/2860150,0.02,0.42,0.02,22.72,5.8
1207650,Suzerain,https://store.steampowered.com/app/1207650,0.08,99.47,0.06,64.03,40.91
2094580,We. The Refugees: Ticket to Europe,https://store.steampowered.com/app/2094580,0.12,58.39,0.13,86.9,36.39
529340,Victoria 3,https://store.steampowered.com/app/529340,0.02,99.47,98.62,94.1,73.05
1182110,Weed Shop 3,https://store.steampowered.com/app/1182110,2.21,1.35,0.13,95.42,24.78
223850,3DMark,https://store.steampowered.com/app/223850,0.08,57.26,3.4,96.45,39.3
