game_id,title,steam_link,krauss_1_definition,krauss_2_kontrast,krauss_3_beispiel_rossmann,krauss_4_schluss,NLI_Total
2289630,Shambles: Sons of Apocalypse,https://store.steampowered.com/app/2289630,99.5,57.26,0.02,99.69,64.12
470310,TROUBLESHOOTER: Abandoned Children,https://store.steampowered.com/app/470310,99.5,98.94,0.02,99.38,74.46
1101120,Gunsmith Simulator,https://store.steampowered.com/app/1101120,99.5,89.19,34.86,69.37,73.23
597180,Old World,https://store.steampowered.com/app/597180,99.5,99.47,97.82,99.75,99.14
460960,The Deed: Dynasty,https://store.steampowered.com/app/460960,99.38,99.47,0.11,99.69,74.66
2191680,Mistwinter Bay,https://store.steampowered.com/app/2191680,99.38,99.66,97.82,99.75,99.15
917720,Gamedec - Definitive Edition,https://store.steampowered.com/app/917720,99.18,98.26,98.76,97.2,98.35
2195630,circloO,https://store.steampowered.com/app/2195630,96.26,29.92,0.12,97.22,55.88
2001070,Heart of the Machine,https://store.steampowered.com/app/2001070,93.49,99.55,97.61,99.69,97.58
289070,Sid Meier’s Civilization® VI,https://store.steampowered.com/app/289070,90.37,99.47,98.25,99.75,96.96
1638330,Darius Cozmic Collection Arcade,https://store.steampowered.com/app/1638330,87.77,0.49,97.82,99.02,71.27
2115760,Oppidum,https://store.steampowered.com/app/2115760,76.6,1.95,98.56,96.45,68.39
674520,Fight'N Rage,https://store.steampowered.com/app/674520,71.48,60.4,9.95,87.81,57.41
1807080,Ghost Exile,https://store.steampowered.com/app/1807080,57.87,14.03,0.02,99.75,42.92
1315320,The Necromancer's Tale,https://store.steampowered.com/app/1315320,40.88,98.94,0.06,99.7,59.9
2338770,NBA 2K24,https://store.steampowered.com/app/2338770,31.5,0.31,0.03,99.75,32.9
820520,Deceive Inc.,https://store.steampowered.com/app/820520,27.87,99.68,0.03,99.8,56.84
1871880,Num One: Revised Edition,https://store.steampowered.com/app/1871880,27.4,55.83,27.73,99.69,52.66
460430,The Letter - Horror Visual Novel,https://store.steampowered.com/app/460430,26.23,99.52,0.06,99.71,56.38
1308760,Mesmer,https://store.steampowered.com/app/1308760,25.79,99.47,0.03,99.69,56.24
493900,Dungeons 3,https://store.steampowered.com/app/493900,24.96,98.94,0.03,99.38,55.83
2088330,F2D - Steer To Persevere,https://store.steampowered.com/app/2088330,24.86,1.91,0.05,78.45,26.32
2573670,Fragment: A Story in Growing,https://store.steampowered.com/app/2573670,24.72,71.62,21.12,0.45,29.48
1366770,Pecaminosa,https://store.steampowered.com/app/1366770,22.45,89.46,0.09,99.69,52.92
1735700,Back to the Dawn,https://store.steampowered.com/app/1735700,19.68,99.47,0.03,97.33,54.13
2363790,Grapple League,https://store.steampowered.com/app/2363790,18.72,0.17,0.09,99.71,29.67
972770,Thousand Threads,https://store.steampowered.com/app/972770,16.56,99.52,0.06,99.35,53.87
1258900,Arcade Redemption,https://store.steampowered.com/app/1258900,16.15,1.95,0.01,98.4,29.13
1892030,Dummynation,https://store.steampowered.com/app/1892030,14.01,0.69,0.07,89.76,26.13
1412780,Axis Football 2020,https://store.steampowered.com/app/1412780,10.3,0.36,0.02,99.63,27.58
1597060,Bubbaruka!,https://store.steampowered.com/app/1597060,8.44,87.03,0.07,75.92,42.86
1640160,G-Darius HD,https://store.steampowered.com/app/1640160,8.42,95.15,0.05,99.13,50.69
370090,Axis Football 2015,https://store.steampowered.com/app/370090,8.32,99.68,99.22,3.46,52.67
420740,The Deed,https://store.steampowered.com/app/420740,7.3,10.62,0.21,1.95,5.02
2294450,CaseCracker2,https://store.steampowered.com/app/2294450,7.26,99.47,0.02,55.8,40.64
1462810,WRC 10 FIA World Rally Championship,https://store.steampowered.com/app/1462810,6.25,73.35,0.02,64.13,35.94
875400,Blackout: The Darkest Night,https://store.steampowered.com/app/875400,6.13,0.31,0.09,0.38,1.73
1172190,Chinatown Detective Agency,https://store.steampowered.com/app/1172190,4.78,99.52,0.02,0.2,26.13
1082720,Click Legends,https://store.steampowered.com/app/1082720,4.78,99.54,0.02,0.01,26.09
3364880,Moral Dilemma: The Interview,https://store.steampowered.com/app/3364880,4.65,8.5,0.04,23.74,9.23
2944750,The Strange City,https://store.steampowered.com/app/2944750,4.56,4.19,0.02,13.4,5.54
2751810,Meteora's Mystic Merge,https://store.steampowered.com/app/2751810,4.24,0.81,0.05,3.28,2.1
1592750,Anode Heart,https://store.steampowered.com/app/1592750,4.1,0.16,0.02,0.99,1.32
1086940,Baldur's Gate 3,https://store.steampowered.com/app/1086940,3.86,93.77,0.02,99.69,49.33
1597310,Airship: Kingdoms Adrift,https://store.steampowered.com/app/1597310,3.48,99.47,0.06,85.07,47.02
1742290,They came from another planet,https://store.steampowered.com/app/1742290,2.61,15.29,0.02,85.96,25.97
1454050,Tour de France 2021,https://store.steampowered.com/app/1454050,2.32,99.35,0.07,0.1,25.46
1182110,Weed Shop 3,https://store.steampowered.com/app/1182110,2.21,1.35,0.13,95.42,24.78
3382300,Sovereign Brain Empire,https://store.steampowered.com/app/3382300,1.79,99.47,0.31,42.4,35.99
442500,Age of Gladiators,https://store.steampowered.com/app/442500,1.5,83.52,12.88,72.88,42.69
3653710,CyberControl: Another Life,https://store.steampowered.com/app/3653710,1.5,99.47,0.06,99.75,50.2
718670,Cultist Simulator,https://store.steampowered.com/app/718670,1.4,99.47,0.04,94.35,48.82
1595380,The Durka: You will (not) die,https://store.steampowered.com/app/1595380,1.35,99.52,0.02,99.71,50.15
1641830,Axis Football 2021,https://store.steampowered.com/app/1641830,1.07,99.52,0.02,99.71,50.08
1888060,雪凤山 Secret Opera,https://store.steampowered.com/app/1888060,1.07,99.47,0.04,99.69,50.07
2004640,Svarog's Dream,https://store.steampowered.com/app/2004640,1.07,99.47,0.06,99.69,50.07
1044980,Mech Mechanic Simulator,https://store.steampowered.com/app/1044980,1.07,99.47,0.03,99.69,50.06
1000030,"Cook, Serve, Delicious! 3?!",https://store.steampowered.com/app/1000030,1.07,99.47,0.02,99.69,50.06
1296830,暖雪 Warm Snow,https://store.steampowered.com/app/1296830,1.07,99.65,0.03,99.12,49.97
2627410,Boxing School 2,https://store.steampowered.com/app/2627410,1.07,99.47,96.15,99.75,74.11
1304550,Progressbar95,https://store.steampowered.com/app/1304550,1.07,99.52,0.03,99.75,50.09
809880,Degrees of Separation,https://store.steampowered.com/app/809880,1.0,0.19,0.04,82.37,20.9
1575590,Alder Forge,https://store.steampowered.com/app/1575590,0.97,93.07,0.03,96.45,47.63
1428520,Mech Engineer,https://store.steampowered.com/app/1428520,0.92,0.39,0.3,96.45,24.52
589870,Learn to Fly 3,https://store.steampowered.com/app/589870,0.91,92.56,0.27,97.89,47.91
1558000,[ECHOSTASIS],https://store.steampowered.com/app/1558000,0.91,99.47,0.01,99.69,50.02
3100740,Cubidle,https://store.steampowered.com/app/3100740,0.91,0.15,0.04,98.94,25.01
2775430,CatMelon - Suika Game,https://store.steampowered.com/app/2775430,0.91,99.52,0.04,99.69,50.04
2582540,RoGlass,https://store.steampowered.com/app/2582540,0.89,98.94,0.07,99.69,49.9
1158310,Crusader Kings III,https://store.steampowered.com/app/1158310,0.82,86.2,0.03,13.54,25.15
1860350,Dream Swing,https://store.steampowered.com/app/1860350,0.82,76.21,11.13,2.17,22.58
1144200,Ready or Not,https://store.steampowered.com/app/1144200,0.8,99.52,0.06,99.69,50.02
1497640,Traitors in Salem,https://store.steampowered.com/app/1497640,0.78,98.94,0.06,98.93,49.68
2058190,Lost Judgment,https://store.steampowered.com/app/2058190,0.73,90.06,0.03,93.81,46.16
2422110,Axis Football 2024,https://store.steampowered.com/app/2422110,0.72,98.6,0.06,0.14,24.88
2210700,Pechka: Historical Story Adventure,https://store.steampowered.com/app/2210700,0.69,4.97,0.04,99.71,26.35
1597220,Tower Ball - Incremental Tower Defense,https://store.steampowered.com/app/1597220,0.69,1.44,0.07,99.67,25.47
2819750,Deathless Death,https://store.steampowered.com/app/2819750,0.67,57.26,0.02,96.45,38.6
1568970,Torn Away,https://store.steampowered.com/app/1568970,0.67,0.36,0.02,96.45,24.38
72900,Winter Voices,https://store.steampowered.com/app/72900,0.64,99.52,0.06,93.58,48.45
3294630,Mini Racer Car Shop Simulator,https://store.steampowered.com/app/3294630,0.64,99.52,0.01,99.71,49.97
1919470,Atari 50: The Anniversary Celebration,https://store.steampowered.com/app/1919470,0.64,99.52,0.02,2.67,25.71
1877960,Trimps,https://store.steampowered.com/app/1877960,0.64,99.61,0.03,97.16,49.36
2653460,月白星斗-Lunar Glow Stellar Dance,https://store.steampowered.com/app/2653460,0.57,99.0,0.05,99.38,49.75
2366430,Windy Meadow - A Roadwarden Tale,https://store.steampowered.com/app/2366430,0.57,0.51,0.04,98.6,24.93
1701380,Cricket 22,https://store.steampowered.com/app/1701380,0.52,0.42,0.08,3.18,1.05
386700,The Oil Blue: Steam Legacy Edition,https://store.steampowered.com/app/386700,0.52,99.73,0.02,0.02,25.07
2896980,Cats in the Ancient City of Gu Su,https://store.steampowered.com/app/2896980,0.48,99.73,0.02,0.33,25.14
2887320,Cats of the Qing Dynasty,https://store.steampowered.com/app/2887320,0.48,37.35,0.2,0.33,9.59
883130,New Star Manager,https://store.steampowered.com/app/883130,0.44,99.66,0.02,28.65,32.19
3199040,Veil Transfer,https://store.steampowered.com/app/3199040,0.42,0.24,0.02,94.29,23.74
356890,One More Line,https://store.steampowered.com/app/356890,0.37,11.57,0.04,98.13,27.53
2592060,Under The Yoke,https://store.steampowered.com/app/2592060,0.37,0.88,0.03,85.7,21.74
739130,The Executioner,https://store.steampowered.com/app/739130,0.36,83.44,0.49,98.52,45.7
2658720,Vampire: The Masquerade - Reckoning of New York,https://store.steampowered.com/app/2658720,0.35,0.17,0.02,94.8,23.84
3475600,FriendShapes,https://store.steampowered.com/app/3475600,0.31,99.52,0.02,96.45,49.08
854570,Pamali: Indonesian Folklore Horror,https://store.steampowered.com/app/854570,0.3,1.05,0.05,96.45,24.46
1163090,Boot Camp Fitness,https://store.steampowered.com/app/1163090,0.28,0.72,0.06,80.06,20.28
2837720,Rugby League Team Manager 4,https://store.steampowered.com/app/2837720,0.27,86.42,0.04,96.45,45.8
1601580,Frostpunk 2,https://store.steampowered.com/app/1601580,0.25,80.27,0.03,93.64,43.55
