game_id,title,steam_link,krauss_1_definition,krauss_2_kontrast,krauss_3_beispiel_rossmann,krauss_4_schluss,NLI_Total
2896980,Cats in the Ancient City of Gu Su,https://store.steampowered.com/app/2896980,0.48,99.73,0.02,0.33,25.14
386700,The Oil Blue: Steam Legacy Edition,https://store.steampowered.com/app/386700,0.52,99.73,0.02,0.02,25.07
820520,Deceive Inc.,https://store.steampowered.com/app/820520,27.87,99.68,0.03,99.8,56.84
501190,Axis Football 2016,https://store.steampowered.com/app/501190,0.07,99.68,0.09,1.3,25.28
370090,Axis Football 2015,https://store.steampowered.com/app/370090,8.32,99.68,99.22,3.46,52.67
2191680,Mistwinter Bay,https://store.steampowered.com/app/2191680,99.38,99.66,97.82,99.75,99.15
883130,New Star Manager,https://store.steampowered.com/app/883130,0.44,99.66,0.02,28.65,32.19
1296830,暖雪 Warm Snow,https://store.steampowered.com/app/1296830,1.07,99.65,0.03,99.12,49.97
1877960,Trimps,https://store.steampowered.com/app/1877960,0.64,99.61,0.03,97.16,49.36
2001070,Heart of the Machine,https://store.steampowered.com/app/2001070,93.49,99.55,97.61,99.69,97.58
1082720,Click Legends,https://store.steampowered.com/app/1082720,4.78,99.54,0.02,0.01,26.09
629650,Symphonic Rain,https://store.steampowered.com/app/629650,0.07,99.52,0.02,99.71,49.83
460430,The Letter - Horror Visual Novel,https://store.steampowered.com/app/460430,26.23,99.52,0.06,99.71,56.38
2775430,CatMelon - Suika Game,https://store.steampowered.com/app/2775430,0.91,99.52,0.04,99.69,50.04
3217180,Ananas - Pineapple Idle Game,https://store.steampowered.com/app/3217180,0.06,99.52,0.03,0.31,24.98
1144200,Ready or Not,https://store.steampowered.com/app/1144200,0.8,99.52,0.06,99.69,50.02
1172190,Chinatown Detective Agency,https://store.steampowered.com/app/1172190,4.78,99.52,0.02,0.2,26.13
2065610,Rush Rush Rally Reloaded,https://store.steampowered.com/app/2065610,0.01,99.52,8.35,99.69,51.89
3475600,FriendShapes,https://store.steampowered.com/app/3475600,0.31,99.52,0.02,96.45,49.08
1304550,Progressbar95,https://store.steampowered.com/app/1304550,1.07,99.52,0.03,99.75,50.09
1641830,Axis Football 2021,https://store.steampowered.com/app/1641830,1.07,99.52,0.02,99.71,50.08
3294630,Mini Racer Car Shop Simulator,https://store.steampowered.com/app/3294630,0.64,99.52,0.01,99.71,49.97
