game_id,title,steam_link,keyword_evaluation_Autobiographisch,keyword_evaluation_Werke,keyword_evaluation_Figuren,keyword_evaluation_K_E_Total
707960,I was here,https://store.steampowered.com/app/707960,17.58,0.0,0.0,5.7
1238450,Interference: Dead Air,https://store.steampowered.com/app/1238450,12.88,0.0,0.0,4.18
706710,Close Your Eyes,https://store.steampowered.com/app/706710,8.79,0.0,0.0,2.85
1072040,Panzer Corps 2,https://store.steampowered.com/app/1072040,8.79,2.77,0.0,3.6
2540630,Cooking Craze,https://store.steampowered.com/app/2540630,8.79,0.0,0.0,2.85
529340,Victoria 3,https://store.steampowered.com/app/529340,8.32,5.55,0.0,4.2
1926590,Nancy Drew®: Mystery of the Seven Keys™,https://store.steampowered.com/app/1926590,5.55,0.0,5.55,4.05
251430,The Inner World,https://store.steampowered.com/app/251430,5.55,0.0,11.09,6.3
2294450,CaseCracker2,https://store.steampowered.com/app/2294450,5.55,4.39,0.0,2.99
2210700,Pechka: Historical Story Adventure,https://store.steampowered.com/app/2210700,5.55,2.77,0.0,2.55
