game_id,title,steam_link,kafkaesque,absurd,surreal,displaced,isolated,alienated,bureaucratic,civil service,Phase2_Total
1941540,Mafia: The Old Country,https://store.steampowered.com/app/1941540,29.97,4.26,3.25,2.24,4.41,9.05,8.97,14.79,9.62
1934680,Age of Mythology: Retold,https://store.steampowered.com/app/1934680,11.1,3.88,2.44,1.19,0.0,2.18,3.28,8.07,4.02
1086940,Baldur's Gate 3,https://store.steampowered.com/app/1086940,25.42,10.34,4.42,2.62,4.56,11.8,7.6,15.28,10.26
1091500,Cyberpunk 2077,https://store.steampowered.com/app/1091500,21.87,3.58,3.32,1.28,5.79,3.87,8.49,7.63,6.98
753640,Outer Wilds,https://store.steampowered.com/app/753640,23.8,4.6,3.51,1.64,3.85,2.42,4.48,2.09,5.8
1903340,Clair Obscur: Expedition 33,https://store.steampowered.com/app/1903340,22.92,2.96,4.08,2.69,3.76,6.87,5.61,3.34,6.53
2133760,Tiny Bookshop,https://store.steampowered.com/app/2133760,24.79,3.16,2.32,0.05,4.2,5.46,5.99,0.53,5.81
1401590,Disney Dreamlight Valley,https://store.steampowered.com/app/1401590,17.71,0.77,5.07,1.3,2.03,3.71,0.9,7.0,4.81
367520,Hollow Knight,https://store.steampowered.com/app/367520,13.27,3.1,2.73,1.41,0.0,4.85,2.57,7.7,4.45
1545560,Shadow Gambit: The Cursed Crew,https://store.steampowered.com/app/1545560,24.02,10.15,3.15,1.76,0.0,11.49,6.02,10.49,8.38
1501750,Lords of the Fallen,https://store.steampowered.com/app/1501750,18.74,2.29,3.07,1.85,4.76,4.34,4.55,8.76,6.04
1286830,STAR WARS™: The Old Republic™,https://store.steampowered.com/app/1286830,15.61,3.34,2.54,2.88,6.86,4.67,6.31,9.87,6.51
1643320,S.T.A.L.K.E.R. 2: Heart of Chornobyl,https://store.steampowered.com/app/1643320,29.59,0.0,3.38,3.11,7.08,6.31,5.34,8.85,7.96
920210,LEGO® Star Wars™: The Skywalker Saga,https://store.steampowered.com/app/920210,10.4,3.94,3.05,1.38,2.08,4.85,2.02,8.08,4.47
1958220,WitchSpring R,https://store.steampowered.com/app/1958220,10.82,5.7,3.38,0.0,0.74,6.57,2.18,0.88,3.78
2604480,City Transport Simulator®,https://store.steampowered.com/app/2604480,18.59,1.75,2.8,0.45,2.26,2.06,12.26,6.8,5.87
1466060,Tainted Grail: The Fall of Avalon,https://store.steampowered.com/app/1466060,19.87,4.98,2.59,1.04,1.0,3.78,5.05,6.52,5.6
1174180,Red Dead Redemption 2,https://store.steampowered.com/app/1174180,20.54,0.0,3.26,0.57,3.58,5.82,5.01,1.11,4.99
3489700,Stellar Blade™,https://store.steampowered.com/app/3489700,19.56,1.49,3.13,2.1,0.0,3.76,0.0,2.79,4.1
2701720,Wagotabi: A Japanese Journey,https://store.steampowered.com/app/2701720,15.23,3.05,2.2,1.44,7.04,3.56,5.1,3.96,5.2
2358720,Black Myth: Wukong,https://store.steampowered.com/app/2358720,20.68,4.16,4.88,1.82,0.0,5.86,7.56,7.6,6.57
1716740,Starfield,https://store.steampowered.com/app/1716740,15.54,2.68,2.8,1.83,6.29,3.49,4.78,8.4,5.73
2651280,Marvel's Spider-Man 2,https://store.steampowered.com/app/2651280,15.02,0.0,2.05,0.52,0.0,2.67,1.88,7.06,3.65
377160,Fallout 4,https://store.steampowered.com/app/377160,24.31,0.3,2.86,4.08,5.83,6.15,10.23,17.29,8.88
1384160,GUILTY GEAR -STRIVE-,https://store.steampowered.com/app/1384160,14.52,7.22,2.45,0.01,0.0,7.8,6.2,7.12,5.66
2322010,God of War Ragnarök,https://store.steampowered.com/app/2322010,16.03,5.61,2.53,2.55,0.0,1.86,0.0,7.22,4.47
2215430,Ghost of Tsushima DIRECTOR'S CUT,https://store.steampowered.com/app/2215430,15.72,2.58,3.28,2.93,0.73,2.38,0.64,3.16,3.93
2677660,Indiana Jones and the Great Circle,https://store.steampowered.com/app/2677660,15.89,8.38,2.5,1.51,2.01,4.57,6.09,6.24,5.9
2531310,The Last of Us™ Part II Remastered,https://store.steampowered.com/app/2531310,22.37,0.0,3.36,3.0,4.05,5.73,2.28,3.45,5.53
1575940,Sins of a Solar Empire II,https://store.steampowered.com/app/1575940,11.85,6.22,0.4,1.21,0.0,5.92,6.57,8.58,5.09
1611910,"Warhammer 40,000: Chaos Gate - Daemonhunters",https://store.steampowered.com/app/1611910,20.76,7.49,3.05,1.09,0.0,6.93,7.1,7.02,6.68
2915380,Ways of Alchemy,https://store.steampowered.com/app/2915380,23.04,7.97,3.25,0.0,1.4,5.52,10.31,5.98,7.18
1888930,The Last of Us™ Part I,https://store.steampowered.com/app/1888930,24.74,0.0,4.22,3.39,7.95,4.47,2.01,2.83,6.2
2016460,Tales of the Shire: A The Lord of The Rings™ Game,https://store.steampowered.com/app/2016460,14.0,6.6,3.47,0.87,6.0,5.41,2.63,2.76,5.22
601150,Devil May Cry 5,https://store.steampowered.com/app/601150,9.78,0.0,1.38,0.55,0.0,5.98,0.13,8.66,3.31
383870,Firewatch,https://store.steampowered.com/app/383870,24.44,0.0,3.0,1.99,2.34,4.33,6.38,5.0,5.94
1341290,We Were Here Forever,https://store.steampowered.com/app/1341290,24.21,4.2,4.33,2.5,4.42,6.58,5.52,7.19,7.37
292030,The Witcher 3: Wild Hunt,https://store.steampowered.com/app/292030,18.19,2.73,2.6,1.99,3.34,3.02,4.03,7.25,5.39
2377280,Eriksholm: The Stolen Dream,https://store.steampowered.com/app/2377280,32.38,2.25,4.15,2.61,5.94,8.35,8.28,13.11,9.63
883710,Resident Evil 2,https://store.steampowered.com/app/883710,25.93,0.0,3.41,1.82,0.0,3.39,4.0,4.31,5.36
1569580,Blue Prince,https://store.steampowered.com/app/1569580,25.96,5.87,5.78,0.7,0.01,4.31,10.53,3.51,7.08
1043810,Tactical Breach Wizards,https://store.steampowered.com/app/1043810,19.76,2.67,2.47,0.91,0.19,5.67,12.73,11.69,7.01
1170570,The Drifter,https://store.steampowered.com/app/1170570,23.42,0.1,3.69,1.45,1.65,2.78,4.7,0.0,4.72
1750770,Starcom: Unknown Space,https://store.steampowered.com/app/1750770,9.37,6.0,1.63,0.0,1.15,2.28,6.4,4.47,3.91
1876930,Saloon Simulator,https://store.steampowered.com/app/1876930,29.22,5.76,4.12,0.39,1.24,8.77,12.22,11.28,9.12
2124490,SILENT HILL 2,https://store.steampowered.com/app/2124490,33.59,2.25,4.88,0.74,0.0,5.51,3.71,3.13,6.73
1426210,It Takes Two,https://store.steampowered.com/app/1426210,20.41,0.0,4.43,0.76,3.28,7.29,1.99,3.21,5.17
1817070,Marvel’s Spider-Man Remastered,https://store.steampowered.com/app/1817070,14.98,0.38,2.7,1.07,0.05,1.06,5.23,8.93,4.3
208650,Batman™: Arkham Knight,https://store.steampowered.com/app/208650,12.84,4.56,1.77,1.06,0.0,2.06,2.86,4.75,3.74
1299460,Wanderstop,https://store.steampowered.com/app/1299460,23.99,9.94,3.95,2.5,3.76,7.82,8.61,0.11,7.58
1128920,EVERSPACE™ 2,https://store.steampowered.com/app/1128920,13.25,0.0,1.73,1.56,6.31,2.79,1.85,5.22,4.09
1602560,The Many Pieces of Mr. Coo,https://store.steampowered.com/app/1602560,13.79,3.16,4.81,0.03,0.0,2.27,4.45,4.51,4.13
552520,Far Cry® 5,https://store.steampowered.com/app/552520,23.11,0.0,3.22,2.05,3.55,11.04,6.16,10.48,7.45
1259420,Days Gone,https://store.steampowered.com/app/1259420,24.34,2.1,2.66,3.12,5.09,4.39,0.62,0.0,5.29
2495100,Hello Kitty Island Adventure,https://store.steampowered.com/app/2495100,16.78,3.27,3.91,1.27,8.36,5.8,2.86,9.0,6.41
2581410,Stygian: Outer Gods,https://store.steampowered.com/app/2581410,38.91,11.78,5.34,2.44,3.03,11.33,5.99,9.12,10.99
3017860,DOOM: The Dark Ages,https://store.steampowered.com/app/3017860,19.52,0.87,1.8,0.61,0.0,6.14,0.0,4.17,4.14
2725260,ENDER MAGNOLIA: Bloom in the Mist,https://store.steampowered.com/app/2725260,26.33,0.71,3.26,2.27,0.0,3.05,6.4,8.18,6.28
435150,Divinity: Original Sin 2 - Definitive Edition,https://store.steampowered.com/app/435150,24.13,6.81,3.73,1.77,4.02,7.61,5.01,11.98,8.13
976730,Halo: The Master Chief Collection,https://store.steampowered.com/app/976730,8.34,0.0,0.98,1.07,1.17,2.73,1.92,7.24,2.93
2842040,Star Wars Outlaws,https://store.steampowered.com/app/2842040,19.3,5.28,2.39,2.22,6.07,6.7,6.64,7.18,6.97
865360,We Were Here Together,https://store.steampowered.com/app/865360,22.92,3.52,3.84,2.01,7.66,5.55,5.15,4.71,6.92
2840770,Avatar: Frontiers of Pandora™,https://store.steampowered.com/app/2840770,14.07,0.0,2.28,3.54,9.53,5.81,2.92,8.93,5.88
1817190,Marvel’s Spider-Man: Miles Morales,https://store.steampowered.com/app/1817190,12.67,0.43,3.08,1.08,0.0,5.08,2.64,5.86,3.85
546560,Half-Life: Alyx,https://store.steampowered.com/app/546560,24.75,2.05,4.64,0.29,2.28,7.25,3.48,0.16,5.61
223850,3DMark,https://store.steampowered.com/app/223850,1.84,0.0,1.26,0.0,0.0,1.01,0.0,0.0,0.51
2238470,Grimshire,https://store.steampowered.com/app/2238470,25.94,5.72,3.42,1.86,4.43,7.07,8.03,8.97,8.18
1222140,Detroit: Become Human,https://store.steampowered.com/app/1222140,25.15,2.37,4.35,1.67,4.43,6.72,2.81,8.01,6.94
3021100,Five Hearts Under One Roof,https://store.steampowered.com/app/3021100,22.78,0.0,4.73,1.64,4.32,5.26,4.09,4.35,5.9
287700,METAL GEAR SOLID V: THE PHANTOM PAIN,https://store.steampowered.com/app/287700,24.25,0.0,2.8,1.93,0.41,5.17,6.11,7.48,6.02
1585180,Drova - Forsaken Kin,https://store.steampowered.com/app/1585180,23.33,5.78,4.83,2.29,3.51,7.6,5.99,7.74,7.63
379430,Kingdom Come: Deliverance,https://store.steampowered.com/app/379430,25.53,7.39,2.53,4.09,1.93,5.95,7.26,12.68,8.42
1290000,PowerWash Simulator,https://store.steampowered.com/app/1290000,19.32,6.88,3.21,0.53,4.81,6.89,11.95,8.29,7.74
1703340,The Stanley Parable: Ultra Deluxe,https://store.steampowered.com/app/1703340,28.39,4.4,4.43,1.31,3.0,4.32,5.53,2.66,6.76
756800,Contraband Police,https://store.steampowered.com/app/756800,31.67,5.69,2.64,4.62,11.72,7.54,23.25,26.66,14.22
2420110,Horizon Forbidden West™ Complete Edition,https://store.steampowered.com/app/2420110,23.84,7.05,3.51,2.42,2.8,7.51,7.92,10.56,8.2
339340,Resident Evil 0,https://store.steampowered.com/app/339340,25.94,0.0,4.22,2.13,0.0,6.39,4.72,6.12,6.19
