game_id,title,steam_link,kafkaesque,absurd,surreal,displaced,isolated,alienated,bureaucratic,civil service,Phase2_Total
2022850,Garlant: My Story,https://store.steampowered.com/app/2022850,20.5,18.56,4.52,0.55,8.94,8.06,10.53,8.42,10.01
3547010,Occlude,https://store.steampowered.com/app/3547010,29.85,18.41,4.56,0.0,2.74,9.87,13.89,10.15,11.18
1111830,Sentenced VR,https://store.steampowered.com/app/1111830,34.34,18.2,4.0,2.1,0.0,14.14,9.39,14.33,12.06
1880470,The Inquisitor,https://store.steampowered.com/app/1880470,25.87,17.8,2.81,1.41,0.0,12.42,9.16,13.05,10.32
2161110,The end is nahual: If I may say so,https://store.steampowered.com/app/2161110,32.96,17.72,5.73,0.95,2.33,11.72,2.32,11.16,10.61
1924360,Lil' Guardsman,https://store.steampowered.com/app/1924360,25.16,17.61,2.82,2.96,4.42,10.48,15.66,22.12,12.65
3339880,OFF,https://store.steampowered.com/app/3339880,31.21,17.35,5.58,2.14,0.98,12.77,11.57,15.66,12.16
1839810,Out Of Hands,https://store.steampowered.com/app/1839810,27.48,17.07,5.88,2.13,2.84,4.96,4.14,5.49,8.75
1436990,Feign,https://store.steampowered.com/app/1436990,21.59,16.99,3.83,1.26,9.28,15.32,5.17,10.94,10.55
769730,Awkward,https://store.steampowered.com/app/769730,24.46,16.52,2.7,0.43,5.05,10.02,6.58,6.95,9.09
