game_id,title,steam_link,kafkaesque,absurd,surreal,displaced,isolated,alienated,bureaucratic,civil service,Phase2_Total
348270,Social Justice Warriors,https://store.steampowered.com/app/348270,13.71,9.3,1.47,1.87,2.46,21.27,9.59,17.01,9.59
3143760,Marry a Deep One: Innsmouth Simulator,https://store.steampowered.com/app/3143760,33.34,12.62,5.89,0.81,4.62,18.16,11.35,13.97,12.6
1959510,"I Hate You, Please Suffer - Basic",https://store.steampowered.com/app/1959510,29.49,12.4,2.42,1.38,5.39,17.32,7.53,3.6,9.94
841190,"Honey, I Joined a Cult",https://store.steampowered.com/app/841190,16.11,3.48,3.73,0.0,4.92,17.25,9.87,9.26,8.08
2564880,Departed Away,https://store.steampowered.com/app/2564880,31.67,9.06,5.26,0.73,11.37,17.2,6.16,10.38,11.48
945360,Among Us,https://store.steampowered.com/app/945360,20.78,10.42,3.66,2.67,8.68,16.47,5.31,11.43,9.93
1996500,The Purge Dilemma,https://store.steampowered.com/app/1996500,26.54,11.05,1.49,0.86,6.13,16.43,22.66,28.09,14.16
1651520,Holy Grain,https://store.steampowered.com/app/1651520,26.84,15.62,3.52,2.08,4.11,16.38,10.71,19.69,12.37
1608290,GNOSIA,https://store.steampowered.com/app/1608290,29.59,10.43,4.15,1.66,8.82,16.17,12.78,17.08,12.58
3086720,One's Own Exile,https://store.steampowered.com/app/3086720,40.64,12.6,5.01,6.68,12.47,16.13,11.84,16.21,15.2
