game_id,title,steam_link,kafkaesque,absurd,surreal,displaced,isolated,alienated,bureaucratic,civil service,Phase2_Total
2298690,Realpolitiks 3: Earth and Beyond,https://store.steampowered.com/app/2298690,26.14,3.74,3.5,2.84,12.41,7.01,18.4,36.49,13.82
1207650,Suzerain,https://store.steampowered.com/app/1207650,32.13,4.17,3.07,4.76,9.94,7.29,19.26,35.33,14.49
946990,Secret Government,https://store.steampowered.com/app/946990,25.28,3.19,3.59,1.73,8.17,14.73,18.35,35.09,13.77
1605460,Here to Stay,https://store.steampowered.com/app/1605460,25.07,3.59,3.38,3.07,10.54,10.43,21.66,34.27,14.0
1410710,Democracy 4,https://store.steampowered.com/app/1410710,24.31,0.25,3.46,1.84,8.7,5.42,16.95,32.14,11.63
1570070,Beholder 3,https://store.steampowered.com/app/1570070,31.94,6.4,3.61,3.19,7.73,12.09,23.85,32.11,15.12
1146600,For the People,https://store.steampowered.com/app/1146600,35.83,6.36,3.08,3.29,7.65,11.94,20.17,32.03,15.04
633060,Orwell: Ignorance is Strength,https://store.steampowered.com/app/633060,40.73,6.7,4.22,3.66,9.1,13.35,19.68,31.54,16.12
2191680,Mistwinter Bay,https://store.steampowered.com/app/2191680,32.62,10.16,4.89,3.68,11.69,11.84,13.83,31.51,15.03
1029630,Power & Revolution 2019 Edition,https://store.steampowered.com/app/1029630,30.23,0.0,3.98,2.87,10.96,5.62,17.05,31.47,12.77
