game_id,title,steam_link,kafkaesque,absurd,surreal,displaced,isolated,alienated,bureaucratic,civil service,Phase2_Total
2435600,The Dark Tones: Loss,https://store.steampowered.com/app/2435600,49.01,4.47,7.74,2.85,2.91,11.47,5.9,8.52,11.61
3137560,The Liminal Dimension,https://store.steampowered.com/app/3137560,48.7,4.04,8.72,1.99,4.79,10.95,8.04,4.16,11.42
2492850,The Other Me,https://store.steampowered.com/app/2492850,48.09,2.35,8.91,2.91,6.54,8.76,6.77,8.13,11.56
2894980,4.1.60Co,https://store.steampowered.com/app/2894980,47.5,10.41,7.65,1.14,4.43,13.08,9.55,8.31,12.76
2707090,The Nefargad,https://store.steampowered.com/app/2707090,47.06,9.33,6.27,2.73,6.73,9.42,12.85,7.91,12.79
2644400,Irritated Mind: Fear of Warehouse,https://store.steampowered.com/app/2644400,46.65,5.58,7.65,1.26,1.93,8.98,9.62,2.77,10.56
1783380,Murder Diaries 3 - Santa's Trail of Blood,https://store.steampowered.com/app/1783380,45.56,0.0,7.74,1.14,2.9,6.79,7.71,4.38,9.53
3322980,Hotel 188,https://store.steampowered.com/app/3322980,45.42,4.71,7.49,1.67,7.49,7.22,9.75,4.48,11.03
899590,Heliophobia,https://store.steampowered.com/app/899590,45.12,4.16,6.25,1.51,4.47,6.18,8.14,5.02,10.11
1769320,Athanasy,https://store.steampowered.com/app/1769320,45.08,1.98,6.24,1.01,5.4,5.68,10.58,5.87,10.23
